Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue Capacity,Tour_ID
2010-03-05,Orlando,United States,Amway Arena,"Gloriana
Kellie Pickler",11101.0,"$598,581",11101.0,1
2010-03-07,Sunrise,United States,BankAtlantic Center,"Gloriana
Kellie Pickler",13453.0,"$777,442",13453.0,1
2010-03-10,Austin,United States,Frank Erwin Center,"Gloriana
Kellie Pickler",11928.0,"$642,705",11928.0,1
2010-03-11,Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler",14022.0,"$742,954",14022.0,1
2010-03-12,Corpus Christi,United States,American Bank Center Arena,"Gloriana
Kellie Pickler",8423.0,"$501,169",8423.0,1
2010-03-18,Philadelphia,United States,Wachovia Center,"Gloriana
Kellie Pickler",30360.0,"$2,002,321",30360.0,1
2010-03-19,Philadelphia,United States,Wachovia Center,"Gloriana
Kellie Pickler",30360.0,"$2,002,321",30360.0,1
2010-03-20,Charlottesville,United States,John Paul Jones Arena,"Gloriana
Kellie Pickler",11858.0,"$664,305",11858.0,1
2010-03-26,Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler",29125.0,"$1,711,591",29125.0,1
2010-03-27,Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler",29125.0,"$1,711,591",29125.0,1
2010-03-28,Cincinnati,United States,U.S. Bank Arena,"Gloriana
Kellie Pickler",11208.0,"$645,592",11208.0,1
2010-03-31,Oklahoma City,United States,Ford Center,"Gloriana
Kellie Pickler",11795.0,"$675,184",11795.0,1
2010-04-01,Wichita,United States,Intrust Bank Arena,"Gloriana
Kellie Pickler",11208.0,"$610,801",11208.0,1
2010-04-02,Kansas City,United States,Sprint Center,"Gloriana
Kellie Pickler",13781.0,"$761,110",13781.0,1
2010-04-06,Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler",25991.0,"$1,497,135",25991.0,1
2010-04-07,Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler",25991.0,"$1,497,135",25991.0,1
2010-04-10,Fresno,United States,Save Mart Center,"Gloriana
Kellie Pickler",11706.0,"$649,488",11706.0,1
2010-04-11,San Jose,United States,HP Pavilion,"Gloriana
Kellie Pickler",12744.0,"$716,726",12744.0,1
2010-04-15,Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",27518.0,"$1,736,197",27518.0,1
2010-04-16,Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",27518.0,"$1,736,197",27518.0,1
2010-04-29,Lexington,United States,Rupp Arena,"Gloriana
Kellie Pickler",17966.0,"$1,024,223",17966.0,1
2010-04-30,Columbia,United States,Colonial Life Arena,"Gloriana
Kellie Pickler",13429.0,"$755,475",13429.0,1
2010-05-01,Raleigh,United States,RBC Center,"Gloriana
Kellie Pickler",13895.0,"$752,303",13895.0,1
2010-05-06,Des Moines,United States,Wells Fargo Arena,"Gloriana
Kellie Pickler",13264.0,"$738,280",13264.0,1
2010-05-07,Saint Paul,United States,Xcel Energy Center,"Gloriana
Kellie Pickler",14914.0,"$846,111",14914.0,1
2010-05-08,Moline,United States,iWireless Center,"Gloriana
Kellie Pickler",10641.0,"$610,668",10641.0,1
2010-05-12,Newark,United States,Prudential Center,"Gloriana
Kellie Pickler",26065.0,"$1,742,669",26065.0,1
2010-05-13,Newark,United States,Prudential Center,"Gloriana
Kellie Pickler",26065.0,"$1,742,669",26065.0,1
2010-05-14,Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler",25831.0,"$1,713,529",25831.0,1
2010-05-15,Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler",25831.0,"$1,713,529",25831.0,1
2010-05-20,Ottawa,Canada,Scotiabank Place,"Gloriana
Kellie Pickler",13376.0,"$873,206",13376.0,1
2010-05-21,Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler",30458.0,"$2,497,690",30458.0,1
2010-05-22,Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler",30458.0,"$2,497,690",30458.0,1
2010-05-25,Houston,United States,Toyota Center,"Gloriana
Kellie Pickler",23493.0,"$1,290,926",23493.0,1
2010-05-26,Houston,United States,Toyota Center,"Gloriana
Kellie Pickler",23493.0,"$1,290,926",23493.0,1
2010-05-29,Baton Rouge,United States,Tiger Stadium,—,,—,,1
2010-06-01,"Washington, D.C.",United States,Verizon Center,"Gloriana
Kellie Pickler",27290.0,"$1,824,743",27290.0,1
2010-06-02,"Washington, D.C.",United States,Verizon Center,"Gloriana
Kellie Pickler",27290.0,"$1,824,743",27290.0,1
2010-06-05,Foxborough,United States,Gillette Stadium,"Gloriana
Justin Bieber
Kellie Pickler",56868.0,"$3,726,157",56868.0,1
2010-06-19,Nassau,The Bahamas,Imperial Ballroom,"Gloriana
Kellie Pickler",,—,,1
2010-07-10,Cavendish,Canada,Cavendish Beach Festival Grounds,—,35000.0,—,35000.0,1
