City,State,Country,Venue,Alternate Names,Latitude,Longitude,,
Nashville,TN,United States,NISSAN STADIUM,,36.166479,-86.7712898,,
Nashville,,United States,Nissan Stadium,,,,,
Nassau,,The Bahamas,Imperial Ballroom,,,,,
New Brockton,,United States,BamaJam Farms,,,,,
New Orleans,LA,United States,Caesar's Superdome,,29.9509,-90.0814,,
New Orleans,,United States,Mercedes-Benz Superdome,Caesars Superdome,,,,
New Orleans,,United States,New Orleans Arena,Smoothie King Center,,,,
New York City,,United States,Madison Square Garden,,,,,
Newark,,United States,Prudential Center,,,,,
Newcastle,,Australia,Newcastle Entertainment Centre,,,,,
North Charleston,,United States,North Charleston Coliseum,,,,,
North Little Rock,,United States,Verizon Arena,,,,,
Oberhausen,,Germany,K̦nig Pilsener Arena,,,,,
Oklahoma City,,United States,Chesapeake Energy Arena,Paycom Center,,,,
Oklahoma City,,United States,Ford Center,Paycom Center,,,,
Omaha,,United States,CenturyLink Center Omaha,CHI Health Center,,,,
Omaha,,United States,Qwest Center Omaha,CHI Health Center,,,,
Orlando,,United States,Amway Arena,,28.548889,-81.386667,,
Orlando,,United States,Amway Center,Kia Center,28.539167,-81.383611,,
Osaka,,Japan,Osaka-Jo Hall,,,,,
Oshkosh,,United States,Ford Festival Park,,,,,
Oslo,,Norway,Oslo Spektrum,,,,,
Ottawa,,Canada,Canadian Tire Centre,,,,,
Ottawa,,Canada,Scotiabank Place,Canadian Tire Centre,,,,
Paradise,,United States,Mandalay Bay Events Center,,,,,
Paris,,France,Paris La Defense Arena,,48.8966,2.2399,,
Paris,,France,Z̩nith de Paris,,,,,
Pasadena,,United States,Rose Bowl,,,,,
Pasay,,Philippines,Mall of Asia Arena,,,,,
Perth,,Australia,Burswood Dome,,,,,
Perth,,Australia,nib Stadium,HBF Park,,,,
Perth,,Australia,Optus Stadium,,,,,
Philadelphia,PA,United States,LINCOLN FINANCIAL FIELD,,39.900898,-75.168098,,
Philadelphia,,United States,Lincoln Financial Field,,,,,
Philadelphia,,United States,Wachovia Center,Xfinity Mobile Arena,,,,
Philadelphia,,United States,Wachovia Spectrum,,,,,
Pittsburgh,PA,United States,ACRISURE STADIUM,,40.4469,-80.0158,,
